ano,co_uf,sg_uf,co_municipio,no_municipio,nascidos_vivos,obitos_infantis,taxa_mortalidade_infantil
2022,29,BA,292930,SAO GONCALO DOS CAMPOS,326.0,3.0,9.202453987730062
2022,29,BA,292935,SAO JOSE DA VITORIA,73.0,0.0,0.0
2022,29,BA,292937,SAO JOSE DO JACUIPE,110.0,1.0,9.09090909090909
2022,29,BA,292940,SAO MIGUEL DAS MATAS,84.0,1.0,11.904761904761903
2022,29,BA,292950,SAO SEBASTIAO DO PASSE,374.0,6.0,16.0427807486631
2022,29,BA,292960,SAPEACU,209.0,1.0,4.784688995215311
2022,29,BA,292970,SATIRO DIAS,208.0,5.0,24.03846153846154
2022,29,BA,292975,SAUBARA,92.0,2.0,21.73913043478261
2022,29,BA,292980,SAUDE,86.0,0.0,0.0
2022,29,BA,292990,SEABRA,685.0,11.0,16.05839416058394
2022,29,BA,293000,SEBASTIAO LARANJEIRAS,86.0,2.0,23.25581395348837
2022,29,BA,293010,SENHOR DO BONFIM,961.0,17.0,17.68990634755463
2022,29,BA,293015,SERRA DO RAMALHO,542.0,6.0,11.07011070110701
2022,29,BA,293020,SENTO SE,465.0,6.0,12.903225806451612
2022,29,BA,293030,SERRA DOURADA,205.0,6.0,29.26829268292683
2022,29,BA,293040,SERRA PRETA,86.0,0.0,0.0
2022,29,BA,293050,SERRINHA,1060.0,14.0,13.20754716981132
2022,29,BA,293060,SERROLANDIA,135.0,2.0,14.814814814814815
2022,29,BA,293070,SIMOES FILHO,1445.0,25.0,17.301038062283737
2022,29,BA,293075,SITIO DO MATO,196.0,2.0,10.204081632653061
2022,29,BA,293076,SITIO DO QUINTO,106.0,2.0,18.867924528301884
2022,29,BA,293077,SOBRADINHO,399.0,10.0,25.062656641604008
2022,29,BA,293080,SOUTO SOARES,211.0,8.0,37.91469194312796
